property_id,window_days,be_present,be_total,be_rate,ctrl_present,ctrl_total,ctrl_rate,analysis_type,test_type,p_value,odds_ratio,effect_size,significant,be_freq_mean,ctrl_freq_mean,p_adjusted
Property_040,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9905174981083608,0.9135961300946892,,False,125.90780141843972,137.81560283687944,1.0
Property_041,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_041,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9995367094470382,0.9017427028840749,,False,3151.241134751773,3494.6122931442083,1.0
Property_042,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_042,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9938174240968533,0.9100177352322141,,False,805.4539007092199,885.0969267139479,1.0
Property_043,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_043,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999982852239786,0.8166863642635599,,False,965.468085106383,1182.177304964539,1.0
Property_044,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_044,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999651046520129,0.8354246374294886,,False,705.1418439716313,844.0520094562647,1.0
Property_045,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_045,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999980617033618,0.847751693241468,,False,3290.7375886524824,3881.723404255319,1.0
Property_046,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_046,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.998653284910966,0.9153885605364563,,False,3945.205673758865,4309.869976359338,1.0
Property_047,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_047,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999775328888733,0.8594028068947438,,False,2937.404255319149,3417.9598108747045,1.0
