year_month,rolling_corr,window,lag,risk_metric,social_indicator
2010-03,0.5502,12,4,warning_days,suicide
2010-04,0.474,12,4,warning_days,suicide
2010-05,0.1163,12,4,warning_days,suicide
2010-06,-0.0297,12,4,warning_days,suicide
2010-07,-0.3695,12,4,warning_days,suicide
2010-08,-0.4487,12,4,warning_days,suicide
2010-09,-0.4254,12,4,warning_days,suicide
2010-10,-0.3184,12,4,warning_days,suicide
2010-11,-0.3248,12,4,warning_days,suicide
2010-12,-0.4036,12,4,warning_days,suicide
2011-01,-0.4135,12,4,warning_days,suicide
2011-02,-0.5747,12,4,warning_days,suicide
2011-03,-0.6427,12,4,warning_days,suicide
2011-04,-0.5755,12,4,warning_days,suicide
2011-05,-0.3141,12,4,warning_days,suicide
2011-06,-0.3431,12,4,warning_days,suicide
2011-07,-0.0324,12,4,warning_days,suicide
2011-08,0.1757,12,4,warning_days,suicide
2011-09,0.1084,12,4,warning_days,suicide
2011-10,0.0943,12,4,warning_days,suicide
2011-11,0.109,12,4,warning_days,suicide
2011-12,0.1044,12,4,warning_days,suicide
2012-01,-0.0766,12,4,warning_days,suicide
2012-02,-0.2815,12,4,warning_days,suicide
2012-03,-0.2748,12,4,warning_days,suicide
2012-04,-0.3008,12,4,warning_days,suicide
2012-05,-0.4361,12,4,warning_days,suicide
2012-06,-0.1954,12,4,warning_days,suicide
2012-07,-0.0721,12,4,warning_days,suicide
2012-08,-0.0109,12,4,warning_days,suicide
2012-09,0.096,12,4,warning_days,suicide
2012-10,0.0399,12,4,warning_days,suicide
2012-11,-0.0413,12,4,warning_days,suicide
2012-12,0.1489,12,4,warning_days,suicide
2013-01,0.2673,12,4,warning_days,suicide
2013-02,0.3463,12,4,warning_days,suicide
2013-03,0.367,12,4,warning_days,suicide
2013-04,0.21,12,4,warning_days,suicide
2013-05,0.0852,12,4,warning_days,suicide
2013-06,0.0589,12,4,warning_days,suicide
2013-07,0.057,12,4,warning_days,suicide
2013-08,-0.0633,12,4,warning_days,suicide
2013-09,-0.0145,12,4,warning_days,suicide
2013-10,-0.0244,12,4,warning_days,suicide
2013-11,0.1552,12,4,warning_days,suicide
2013-12,0.3913,12,4,warning_days,suicide
2014-01,0.3686,12,4,warning_days,suicide
2014-02,0.4016,12,4,warning_days,suicide
2014-03,0.4781,12,4,warning_days,suicide
2014-04,0.5374,12,4,warning_days,suicide
2014-05,0.5261,12,4,warning_days,suicide
2014-06,0.5052,12,4,warning_days,suicide
2014-07,0.4961,12,4,warning_days,suicide
2014-08,0.6135,12,4,warning_days,suicide
2014-09,0.6264,12,4,warning_days,suicide
2014-10,0.658,12,4,warning_days,suicide
2014-11,0.793,12,4,warning_days,suicide
2014-12,0.8011,12,4,warning_days,suicide
2015-01,0.8486,12,4,warning_days,suicide
2015-02,0.8703,12,4,warning_days,suicide
2015-03,0.7955,12,4,warning_days,suicide
2015-04,0.4591,12,4,warning_days,suicide
2015-05,0.5694,12,4,warning_days,suicide
2015-06,0.4424,12,4,warning_days,suicide
2015-07,0.4415,12,4,warning_days,suicide
2015-08,0.4194,12,4,warning_days,suicide
2015-09,0.436,12,4,warning_days,suicide
2015-10,0.2738,12,4,warning_days,suicide
2015-11,-0.0718,12,4,warning_days,suicide
2015-12,-0.2487,12,4,warning_days,suicide
2016-01,-0.4777,12,4,warning_days,suicide
2016-02,-0.427,12,4,warning_days,suicide
2016-03,-0.5046,12,4,warning_days,suicide
2016-04,-0.4531,12,4,warning_days,suicide
2016-05,-0.4452,12,4,warning_days,suicide
