year_month,risk_mean,risk_max,warning_days,n_days,Property_055_contrib_mean,Property_083_contrib_mean,Property_042_contrib_mean,Property_110_contrib_mean,Property_087_contrib_mean,Property_002_contrib_mean,Property_070_contrib_mean,Property_113_contrib_mean,Property_055_ratio_mean,Property_083_ratio_mean,Property_042_ratio_mean,Property_110_ratio_mean,Property_087_ratio_mean,Property_002_ratio_mean,Property_070_ratio_mean,Property_113_ratio_mean,Property_055_ratio_max,Property_083_ratio_max,Property_042_ratio_max,Property_110_ratio_max,Property_087_ratio_max,Property_002_ratio_max,Property_070_ratio_max,Property_113_ratio_max,consec_warning_months,risk_mean_delta,risk_mean_accel
2010-06,35.47966666666667,44.59,30,30,0.028193333333333334,0.0,0.0,0.15998666666666667,0.0,0.0,0.36272000000000004,0.18589666666666668,1.0283900000000001,0.0,0.0,1.45189,0.0,0.0,1.4231166666666666,1.3721933333333332,1.1163,0,0,2.0936,0,0,1.4875,1.4465,2,2.6635376344086055,-13.226924731182791
2010-07,30.906774193548387,36.23,31,31,0.09096774193548386,0.0,0.0,0.2854516129032258,0.0,0.0,0.3597967741935484,0.1874774193548387,1.101990322580645,0.0,0.0,1.8062516129032258,0.0,0.0,1.419709677419355,1.3753612903225807,1.1415,0,0,2.2435,0,0,1.4699,1.4636,3,-4.57289247311828,-7.2364301075268855
2010-08,29.83451612903226,33.02,31,31,0.1787709677419355,0.0,0.0,0.36114516129032254,0.0,0.0,0.31488387096774195,0.16201290322580647,1.2004290322580646,0.0,0.0,2.0200709677419355,0.0,0.0,1.3673064516129032,1.3243548387096775,1.2335,0,0,2.27,0,0,1.3992,1.3766,4,-1.0722580645161273,3.500634408602153
2010-09,27.395666666666667,38.5,22,30,0.21695,0.0,0.0,0.18544333333333332,0.0,0.0,0.2965033333333333,0.14930000000000002,1.24323,0.0,0.0,1.5228733333333333,0.0,0.0,1.34589,1.2989133333333334,1.3643,0,0,2.2912,0,0,1.4427,1.4446,5,-2.4388494623655923,-1.366591397849465
2010-10,30.74225806451613,47.45,20,31,0.340641935483871,0.0,0.0,0.2091225806451613,0.0,0.0,0.32645483870967745,0.16725161290322582,1.3818903225806451,0.0,0.0,1.590690322580645,0.0,0.0,1.380809677419355,1.334858064516129,1.6068,0,0,1.8616,0,0,1.5425,1.5232,6,3.346591397849462,5.785440860215054
2010-11,39.61466666666667,42.72,30,30,0.31405999999999995,0.0,0.0,0.17650333333333332,0.0,0.0,0.4821566666666667,0.2516,1.3521,0.0,0.0,1.4985633333333332,0.0,0.0,1.5624233333333335,1.5037266666666667,1.4369,0,0,1.7356,0,0,1.6178,1.551,7,8.872408602150543,5.525817204301081
2010-12,31.613548387096774,39.73,31,31,0.13115806451612905,0.0,0.0,0.10456774193548388,0.0,0.0,0.41758064516129034,0.1576225806451613,1.1470354838709678,0.0,0.0,1.2953451612903226,0.0,0.0,1.4871129032258064,1.3155935483870969,1.2089,0,0,1.5063,0,0,1.5892,1.4243,8,-8.001118279569898,-16.87352688172044
2011-01,34.45935483870968,41.89,31,31,0.39537419354838704,0.0,0.0,0.15220322580645163,0.0,0.0,0.4365258064516129,0.14218064516129034,1.4432548387096775,0.0,0.0,1.4299032258064515,0.0,0.0,1.5092129032258066,1.2846548387096774,1.6306,0,0,1.7423,0,0,1.5575,1.3725,9,2.845806451612905,10.846924731182803
2011-02,24.291071428571428,44.74,18,28,0.32085357142857146,0.0,0.0,0.2074035714285714,0.0,0.0,0.3096964285714286,0.1306142857142857,1.3597142857142859,0.0,0.0,1.5858142857142856,0.0,0.0,1.3612678571428571,1.2614964285714285,1.5679,0,0,2.0578,0,0,1.5458,1.4904,10,-10.168283410138251,-13.014089861751156
2011-03,47.07741935483871,52.69,31,31,0.5020161290322581,0.0,0.0,0.2902258064516129,0.0,0.0,0.5471967741935484,0.2721387096774193,1.5628129032258065,0.0,0.0,1.8197709677419356,0.0,0.0,1.6383129032258066,1.5448516129032257,1.6802,0,0,2.1281,0,0,1.8175,1.6252,11,22.786347926267283,32.954631336405534
