year_month,risk_mean,risk_max,risk_std,n_days,warning_days,suicide,mental_disorder,substance_disorder,unemployment
2020-03,45.8674193548387,68.66,17.575212652623758,31,31,1149.0,392.0,99.0,4.2
2020-04,51.823,68.39,8.268504910095654,30,30,1120.0,343.0,91.0,4.2
2020-05,21.93967741935484,36.75,6.542510977634893,31,19,1152.0,339.0,105.0,4.5
2020-06,23.233666666666668,26.7,2.4852412404007183,30,30,1135.0,338.0,80.0,4.3
2020-07,20.710645161290323,27.7,3.5291405332213412,31,21,1228.0,306.0,83.0,4.0
2020-08,15.461290322580645,18.62,2.1557887063060135,31,2,1185.0,387.0,104.0,3.1
2020-09,20.937666666666665,28.63,5.68977587785581,30,21,1020.0,340.0,84.0,3.6
2020-10,5.814516129032258,18.71,5.68270172758796,31,1,1147.0,371.0,96.0,3.7
2020-11,12.241000000000001,18.67,2.416141623503802,30,1,1061.0,352.0,89.0,3.4
2020-12,10.848064516129034,14.02,2.1055884677920647,31,0,913.0,357.0,87.0,4.1
2021-01,13.930645161290323,24.15,5.902341306907437,31,9,998.0,346.0,78.0,5.7
2021-02,14.9975,24.91,7.664093106698806,28,11,1012.0,255.0,65.0,4.9
2021-03,6.5683870967741935,9.92,2.071252594887442,31,0,1321.0,302.0,88.0,4.3
2021-04,9.923,11.8,0.6179060859341677,30,0,1210.0,280.0,88.0,4.0
2021-05,9.019354838709678,11.66,1.6718032888348864,31,0,1176.0,272.0,81.0,4.0
2021-06,7.472666666666667,9.6,0.7109824835774954,30,0,1258.0,245.0,61.0,3.8
2021-07,8.928064516129032,11.32,1.1793145448517646,31,0,1128.0,299.0,89.0,3.2
2021-08,6.203548387096775,10.41,1.9899741177330208,31,0,1080.0,276.0,76.0,2.6
2021-09,4.614000000000001,6.49,1.223053273714938,30,0,1072.0,295.0,81.0,2.7
2021-10,7.911935483870968,11.31,2.6471474198400045,31,0,1072.0,277.0,86.0,2.8
2021-11,16.04,20.3,4.008680236858424,30,14,983.0,288.0,85.0,2.6
2021-12,13.926451612903225,16.61,1.453498190314426,31,0,1042.0,366.0,86.0,3.5
2022-01,16.59258064516129,22.39,2.611384010752327,31,5,1004.0,338.0,81.0,4.1
2022-02,11.1675,23.59,5.882311604702254,28,5,879.0,292.0,97.0,3.4
2022-03,16.46741935483871,23.16,4.352721729172784,31,11,1109.0,415.0,110.0,3.0
2022-04,17.18166666666667,20.58,2.108107638639915,30,11,1198.0,382.0,101.0,3.0
2022-05,17.395806451612902,21.19,2.132377037007525,31,10,1181.0,290.0,91.0,3.0
2022-06,22.481333333333332,42.87,11.052447297515958,30,15,1065.0,245.0,72.0,3.0
2022-07,39.63290322580645,45.29,3.268711462282337,31,31,1124.0,218.0,64.0,2.9
2022-08,18.654516129032256,36.01,9.470274138485355,31,14,1098.0,272.0,85.0,2.1
2022-09,18.55666666666667,34.0,5.29998395139622,30,11,1096.0,292.0,80.0,2.4
2022-10,40.21387096774193,48.9,4.321586651080328,31,31,1129.0,303.0,77.0,2.4
2022-11,39.19133333333333,51.72,8.29734553869524,30,30,987.0,300.0,72.0,2.3
2022-12,32.74967741935484,36.05,1.6766543747812541,31,31,1036.0,350.0,81.0,3.0
2023-01,26.00258064516129,37.68,9.1306874395239,31,23,1007.0,375.0,79.0,3.6
2023-02,17.041428571428572,23.08,2.5846007131781197,28,6,1072.0,322.0,85.0,3.1
2023-03,18.60741935483871,26.06,3.018152821116403,31,10,1281.0,324.0,80.0,2.9
2023-04,19.830666666666666,26.3,3.6665157126711394,30,19,1185.0,301.0,78.0,2.8
2023-05,12.434193548387096,16.7,1.9691838820410656,31,0,1317.0,348.0,68.0,2.7
2023-06,7.095,10.95,1.8341732140968428,30,0,1280.0,280.0,49.0,2.7
2023-07,11.17225806451613,12.72,0.7131746381610397,31,0,1229.0,305.0,58.0,2.7
2023-08,8.749677419354839,11.54,1.5485788837317203,31,0,1220.0,420.0,84.0,2.0
2023-09,14.193000000000001,16.63,1.7024690994208254,30,0,1169.0,342.0,65.0,2.3
2023-10,12.930967741935484,27.8,7.923020617095776,31,8,1150.0,374.0,67.0,2.1
2023-11,21.505,28.67,4.808091420038545,30,21,1015.0,389.0,76.0,2.3
2023-12,18.096774193548388,23.33,3.216347190107408,31,14,1053.0,401.0,72.0,3.3
2024-01,17.106451612903225,22.09,1.854117127524754,31,6,1372.0,398.0,77.0,3.7
2024-02,12.74896551724138,20.69,4.550603841271735,29,7,1244.0,370.0,74.0,3.2
2024-03,11.259677419354839,13.01,1.1800098414023725,31,0,1353.0,369.0,87.0,3.0
2024-04,9.459,11.76,1.4829312770367327,30,0,1354.0,298.0,58.0,3.0
2024-05,5.137419354838709,13.34,3.730704104894889,31,0,1296.0,326.0,73.0,3.0
2024-06,6.021333333333333,11.19,2.216571962370682,30,0,1225.0,273.0,52.0,2.9
2024-07,12.183548387096774,14.09,1.3528181656258573,31,0,1229.0,316.0,75.0,2.5
2024-08,16.025806451612905,25.1,5.801451412760745,31,9,1134.0,341.0,106.0,1.9
2024-09,13.037,23.09,6.67379546150981,30,10,1160.0,277.0,80.0,2.1
2024-10,10.686451612903225,21.11,4.784845207100641,31,2,1217.0,294.0,76.0,2.3
2024-11,20.738999999999997,22.21,1.0051431532974269,30,30,1130.0,261.0,87.0,2.2
2024-12,48.493870967741934,68.57,15.315401546029703,31,31,1158.0,349.0,81.0,3.8
2025-01,33.60258064516129,45.23,8.449887166008764,31,29,,,,3.7
2025-02,15.776071428571429,28.89,8.414252168212249,28,10,,,,3.2
2025-03,24.411290322580644,32.34,4.418850334597209,31,29,,,,3.1
2025-04,43.43866666666667,50.54,6.2669641406529415,30,30,,,,2.9
2025-05,16.570967741935487,33.43,6.879003975789279,31,11,,,,2.8
2025-06,22.424666666666667,33.49,5.177516202098119,30,21,,,,2.8
2025-07,29.038709677419355,39.22,6.917151505225012,31,31,,,,2.4
2025-08,20.57193548387097,24.41,2.6806223398741325,31,20,,,,2.0
2025-09,26.59466666666667,29.79,2.9307074976499483,30,30,,,,2.1
2025-10,19.903548387096773,47.6,10.355120327125482,31,14,,,,2.2
2025-11,45.006,49.69,2.7272059720147857,30,30,,,,2.2
2025-12,43.96387096774194,49.33,3.552987172712893,31,31,,,,4.1
2026-01,37.890967741935484,52.75,7.356962396188029,31,31,,,,4.1
2026-02,50.26107142857143,63.74,12.307730584590207,28,28,,,,
2026-03,36.011,61.17,15.584876893250643,10,9,,,,
