year_month,risk_mean,risk_max,risk_std,n_days,warning_days
2016-09,2.0423333333333336,5.45,1.6536890491456873,30,0
2016-10,4.585806451612903,8.11,2.2808006988680507,31,0
2016-11,12.511666666666667,15.96,2.24166514976661,30,0
2016-12,9.96516129032258,13.52,1.4000187402739581,31,0
2017-01,8.255806451612903,12.17,3.1554616927834274,31,0
2017-02,1.6857142857142857,5.19,1.0914089723717435,28,0
2017-03,0.8035483870967742,2.14,0.5376092037102588,31,0
2017-04,0.4766666666666667,1.33,0.38878531735201327,30,0
2017-05,0.40516129032258064,1.34,0.47191009714239673,31,0
2017-06,0.07166666666666667,0.41,0.12359788340262626,30,0
2017-07,0.038387096774193545,0.35,0.09719728302764945,31,0
2017-08,0.257741935483871,0.96,0.32382824333710564,31,0
2017-09,0.08366666666666668,0.3,0.11535502420439,30,0
2017-10,0.0012903225806451613,0.04,0.007184212081070997,31,0
2017-11,0.005333333333333333,0.05,0.014076964145021818,30,0
2017-12,0.18838709677419355,0.35,0.08116225617833076,31,0
2018-01,0.5645161290322581,1.41,0.5042806011846804,31,0
2018-02,1.5525,3.96,1.5126396476701591,28,0
2018-03,0.007096774193548388,0.07,0.019696623803264146,31,0
2018-04,0.5616666666666668,1.16,0.42251368746107393,30,0
2018-05,0.4693548387096774,1.09,0.3874956815576226,31,0
2018-06,0.8543333333333333,1.68,0.44408513732774524,30,0
2018-07,3.44,5.91,1.5484659074925302,31,0
2018-08,3.662258064516129,10.46,2.4947447560521017,31,0
2018-09,8.607666666666667,14.01,4.923369103909775,30,0
2018-10,7.835806451612903,30.11,8.59677295043264,31,5
2018-11,18.408666666666665,31.56,7.6372493393409915,30,15
2018-12,7.741935483870968,9.8,1.0934972012000104,31,0
2019-01,7.908387096774193,10.98,1.9223182129470546,31,0
2019-02,1.2653571428571428,5.24,1.55550511539537,28,0
2019-03,2.6261290322580644,5.18,1.0119244946119739,31,0
2019-04,3.9353333333333333,7.37,2.1299679993279055,30,0
2019-05,4.817741935483871,10.26,2.950506973021664,31,0
2019-06,6.121333333333333,11.39,2.4054173533252317,30,0
2019-07,7.563225806451613,10.91,2.154620441588687,31,0
2019-08,17.175161290322578,24.35,5.001270419248654,31,14
2019-09,5.4896666666666665,13.63,4.362137631098276,30,0
2019-10,6.871935483870968,10.47,1.9970819034361753,31,0
2019-11,7.608333333333333,10.23,1.8569386808313881,30,0
2019-12,3.0925806451612905,4.87,1.0315715122793168,31,0
2020-01,1.19,2.74,0.7493196914535211,31,0
2020-02,9.77655172413793,20.91,5.984075460194372,29,1
2020-03,45.8674193548387,68.66,17.575212652623758,31,31
2020-04,51.823,68.39,8.268504910095654,30,30
2020-05,21.93967741935484,36.75,6.542510977634893,31,19
2020-06,23.233666666666668,26.7,2.4852412404007183,30,30
2020-07,20.710645161290323,27.7,3.5291405332213412,31,21
2020-08,15.461290322580645,18.62,2.1557887063060135,31,2
2020-09,20.937666666666665,28.63,5.68977587785581,30,21
